estado,acceso_salud,sexo,anio,trimestre,trimestre_texto,periodo,fecha_fin_trimestre,valor
 ,No especificado,Hombre,2005,1,Primer trimestre del 2005,2005Q1,2005-03-31 23:59:59.999999999,304
 ,No especificado,Mujer,2005,1,Primer trimestre del 2005,2005Q1,2005-03-31 23:59:59.999999999,60
 ,No especificado,Hombre,2005,2,Segundo trimestre del 2005,2005Q2,2005-06-30 23:59:59.999999999,38
 ,No especificado,Mujer,2005,2,Segundo trimestre del 2005,2005Q2,2005-06-30 23:59:59.999999999,27
 ,No especificado,Hombre,2005,3,Tercer trimestre del 2005,2005Q3,2005-09-30 23:59:59.999999999,191
 ,No especificado,Hombre,2005,4,Cuarto trimestre del 2005,2005Q4,2005-12-31 23:59:59.999999999,274
 ,No especificado,Mujer,2005,4,Cuarto trimestre del 2005,2005Q4,2005-12-31 23:59:59.999999999,138
 ,No especificado,Hombre,2006,1,Primer trimestre del 2006,2006Q1,2006-03-31 23:59:59.999999999,31
 ,No especificado,Mujer,2006,2,Segundo trimestre del 2006,2006Q2,2006-06-30 23:59:59.999999999,85
 ,No especificado,Mujer,2006,3,Tercer trimestre del 2006,2006Q3,2006-09-30 23:59:59.999999999,230
 ,No especificado,Hombre,2006,4,Cuarto trimestre del 2006,2006Q4,2006-12-31 23:59:59.999999999,96
 ,No especificado,Mujer,2006,4,Cuarto trimestre del 2006,2006Q4,2006-12-31 23:59:59.999999999,50
 ,No especificado,Mujer,2007,1,Primer trimestre del 2007,2007Q1,2007-03-31 23:59:59.999999999,64
 ,No especificado,Hombre,2007,4,Cuarto trimestre del 2007,2007Q4,2007-12-31 23:59:59.999999999,56
 ,No especificado,Hombre,2008,1,Primer trimestre del 2008,2008Q1,2008-03-31 23:59:59.999999999,224
 ,No especificado,Hombre,2008,2,Segundo trimestre del 2008,2008Q2,2008-06-30 23:59:59.999999999,29
 ,No especificado,Mujer,2008,2,Segundo trimestre del 2008,2008Q2,2008-06-30 23:59:59.999999999,30
 ,No especificado,Hombre,2008,3,Tercer trimestre del 2008,2008Q3,2008-09-30 23:59:59.999999999,262
 ,No especificado,Mujer,2008,3,Tercer trimestre del 2008,2008Q3,2008-09-30 23:59:59.999999999,62
