estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2005,T1,2005-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1655595.0
Estados Unidos Mexicanos,2005,T2,2005-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1757402.0
Estados Unidos Mexicanos,2005,T3,2005-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1763274.0
Estados Unidos Mexicanos,2005,T4,2005-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1805733.0
Estados Unidos Mexicanos,2005,6 Meses,2005-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1706499.0
Estados Unidos Mexicanos,2005,9 Meses,2005-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1725424.0
Estados Unidos Mexicanos,2005,Anual,2005-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1745501.0
Estados Unidos Mexicanos,2006,T1,2006-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1792605.0
Estados Unidos Mexicanos,2006,T2,2006-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1804861.0
Estados Unidos Mexicanos,2006,T3,2006-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1780189.0
Estados Unidos Mexicanos,2006,T4,2006-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1799309.0
Estados Unidos Mexicanos,2006,6 Meses,2006-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1798733.0
Estados Unidos Mexicanos,2006,9 Meses,2006-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1792552.0
Estados Unidos Mexicanos,2006,Anual,2006-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1794241.0
Estados Unidos Mexicanos,2007,T1,2007-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1837057.0
Estados Unidos Mexicanos,2007,T2,2007-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1869864.0
Estados Unidos Mexicanos,2007,T3,2007-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1865865.0
Estados Unidos Mexicanos,2007,T4,2007-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1874010.0
Estados Unidos Mexicanos,2007,6 Meses,2007-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1853460.0
Estados Unidos Mexicanos,2007,9 Meses,2007-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1857595.0
Estados Unidos Mexicanos,2007,Anual,2007-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1861699.0
Estados Unidos Mexicanos,2008,T1,2008-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1847058.0
Estados Unidos Mexicanos,2008,T2,2008-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1923880.0
Estados Unidos Mexicanos,2008,T3,2008-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1916317.0
Estados Unidos Mexicanos,2008,T4,2008-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1855065.0
Estados Unidos Mexicanos,2008,6 Meses,2008-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1885469.0
Estados Unidos Mexicanos,2008,9 Meses,2008-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1895752.0
Estados Unidos Mexicanos,2008,Anual,2008-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1885580.0
Estados Unidos Mexicanos,2009,T1,2009-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1788733.0
Estados Unidos Mexicanos,2009,T2,2009-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1789619.0
Estados Unidos Mexicanos,2009,T3,2009-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1876391.0
Estados Unidos Mexicanos,2009,T4,2009-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1987236.0
Estados Unidos Mexicanos,2009,6 Meses,2009-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1789176.0
Estados Unidos Mexicanos,2009,9 Meses,2009-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1818248.0
Estados Unidos Mexicanos,2009,Anual,2009-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1860495.0
Estados Unidos Mexicanos,2010,T1,2010-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1816890.0
Estados Unidos Mexicanos,2010,T2,2010-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1862466.0
