estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2005,T1,2005-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,92401.334
Estados Unidos Mexicanos,2005,T2,2005-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,99582.301
Estados Unidos Mexicanos,2005,T3,2005-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,100262.552
Estados Unidos Mexicanos,2005,T4,2005-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,103977.418
Estados Unidos Mexicanos,2005,6 Meses,2005-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,95991.825
Estados Unidos Mexicanos,2005,9 Meses,2005-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,97415.396
Estados Unidos Mexicanos,2005,Anual,2005-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,99055.907
Estados Unidos Mexicanos,2006,T1,2006-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,104076.335
Estados Unidos Mexicanos,2006,T2,2006-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,104370.79
Estados Unidos Mexicanos,2006,T3,2006-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,104064.843
Estados Unidos Mexicanos,2006,T4,2006-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,109077.576
Estados Unidos Mexicanos,2006,6 Meses,2006-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,104223.57
Estados Unidos Mexicanos,2006,9 Meses,2006-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,104170.656
Estados Unidos Mexicanos,2006,Anual,2006-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,105397.39
Estados Unidos Mexicanos,2007,T1,2007-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,110428.985
Estados Unidos Mexicanos,2007,T2,2007-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,111566.416
Estados Unidos Mexicanos,2007,T3,2007-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,109807.581
Estados Unidos Mexicanos,2007,T4,2007-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,109539.617
Estados Unidos Mexicanos,2007,6 Meses,2007-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,110997.708
Estados Unidos Mexicanos,2007,9 Meses,2007-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,110600.994
Estados Unidos Mexicanos,2007,Anual,2007-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,110335.656
Estados Unidos Mexicanos,2008,T1,2008-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,96416.542
Estados Unidos Mexicanos,2008,T2,2008-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,100157.49
Estados Unidos Mexicanos,2008,T3,2008-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,102283.833
Estados Unidos Mexicanos,2008,T4,2008-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,105388.378
Estados Unidos Mexicanos,2008,6 Meses,2008-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,98287.025
Estados Unidos Mexicanos,2008,9 Meses,2008-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,99619.286
Estados Unidos Mexicanos,2008,Anual,2008-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,101061.566
Estados Unidos Mexicanos,2009,T1,2009-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,112998.651
Estados Unidos Mexicanos,2009,T2,2009-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,117891.466
Estados Unidos Mexicanos,2009,T3,2009-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,127328.404
Estados Unidos Mexicanos,2009,T4,2009-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,135695.052
Estados Unidos Mexicanos,2009,6 Meses,2009-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,115445.064
Estados Unidos Mexicanos,2009,9 Meses,2009-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,119406.176
Estados Unidos Mexicanos,2009,Anual,2009-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,123478.397
Estados Unidos Mexicanos,2010,T1,2010-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,120433.127
Estados Unidos Mexicanos,2010,T2,2010-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,122005.397
Estados Unidos Mexicanos,2010,T3,2010-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,127075.057
Estados Unidos Mexicanos,2010,T4,2010-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,137634.583
Estados Unidos Mexicanos,2010,6 Meses,2010-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,121219.267
Estados Unidos Mexicanos,2010,9 Meses,2010-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,123171.195
Estados Unidos Mexicanos,2010,Anual,2010-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,126787.046
Estados Unidos Mexicanos,2011,T1,2011-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,140841.59
Estados Unidos Mexicanos,2011,T2,2011-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,144987.263
